date,true_rv,state,pred_rv,pred_source,true_vol,pred_vol
2020-03-18,0.8966510109092856,,0.0018205581999665,direct prediction column,94.69165807552878,4.2667999718366225
2020-03-19,0.5012326076695481,,0.2118377830019204,direct prediction column,70.79778299279916,46.0258387215182
2020-03-20,0.2444377198490777,,0.0273699422312898,direct prediction column,49.440643184436595,16.54386358481289
2020-03-23,0.2751899961228011,,0.6725895090300379,direct prediction column,52.4585547001441,82.01155461458086
2020-03-24,0.1040429114076703,,0.0378007465320371,direct prediction column,32.25568343837568,19.442414081599306
2020-03-25,0.5587814361949898,,0.0023197529831179,direct prediction column,74.75168467633286,4.81638140424728
2020-03-26,0.1601522462283306,,0.078833944886769,direct prediction column,40.01902625356227,28.0773832268552
2020-03-27,0.1832532646097573,,0.0039380833329802,direct prediction column,42.808090895268535,6.275414992636105
2020-03-30,0.0984817626551072,,0.0465236844013089,direct prediction column,31.38180406782045,21.5693496427938
2020-03-31,0.082953908402103,,0.003191338329773,direct prediction column,28.80172015732793,5.649193154577917
2020-04-01,0.3741840891604346,,0.0876158906038663,direct prediction column,61.17058845233014,29.599981520917595
2020-04-02,0.0639140457098387,,0.1011198677966736,direct prediction column,25.281227365347338,31.79935027585841
2020-04-03,0.1227383759071479,,0.0243648466935984,direct prediction column,35.03403715062652,15.609242996890785
2020-04-06,0.6036913367273525,,0.0161699939844281,direct prediction column,77.69757632818109,12.716129121878284
2020-04-07,0.0674228014468262,,0.0112877785474962,direct prediction column,25.965900994732728,10.62439576987614
2020-04-08,0.1500244571532356,,0.0317209550349906,direct prediction column,38.73299073828867,17.810377602676088
2020-04-09,0.0529197193655824,,0.0167875737815795,direct prediction column,23.004286419183362,12.956686992275262
2020-04-13,0.059454510448153,,0.0227472724468443,direct prediction column,24.38329560337425,15.082198926829038
2020-04-14,0.131884396676332,,0.0354721271562272,direct prediction column,36.315891380541935,18.83404554423377
2020-04-15,0.1157908018173469,,0.0461054046326689,direct prediction column,34.0280475222054,21.472169110890707
2020-04-16,0.0297463778921253,,0.0573493100150263,direct prediction column,17.247138282081842,23.94771596938345
2020-04-17,0.0353970938293724,,0.052833034967888,direct prediction column,18.81411540024468,22.98543777435792
2020-04-20,0.0449382719567259,,0.0250414063931021,direct prediction column,21.19864900335064,15.824476734825105
2020-04-21,0.0428305777294636,,0.0254018925679111,direct prediction column,20.69554969781272,15.937971190810673
