date,y_true,y_iohmm,y_har,y_garch,dom_state
2020-01-17,-12.466900314582348,-13.369319071665759,-11.701327666373174,-10.284700613104258,1
2020-01-21,-17.521260744522465,-12.802179780629745,-11.766141673356636,-10.444188941605256,1
2020-01-22,-13.534996108013074,-11.943628146396424,-11.952783536236858,-10.52976476165384,1
2020-01-23,-9.435912349236025,-11.975448240458352,-12.098239845916275,-10.684927996906577,1
2020-01-24,-8.250484407534941,-11.460711011189108,-12.017944469776797,-10.833839969730098,0
2020-01-27,-9.127071438217095,-11.04550961257278,-11.82095416572573,-10.098886229274981,0
2020-01-28,-14.182405569632513,-10.231108911986354,-11.161631747933162,-9.156452579110315,0
2020-01-29,-11.463350478909033,-10.824905330017646,-11.046329971419224,-9.187466788427274,1
2020-01-30,-7.998972138046483,-10.207568479374782,-11.187108365455188,-9.436333126706106,1
2020-01-31,-9.812075088697714,-10.781141330367962,-11.103714981902602,-9.66601934655003,1
2020-02-03,-8.382597611852633,-10.691497028024283,-10.761925404290706,-8.866869614393424,1
2020-02-04,-8.933901461158447,-10.659429540951809,-10.942936287941201,-9.050027435154698,0
2020-02-05,-11.391215077929877,-11.258532339168442,-10.792806686860427,-8.88844905448675,0
2020-02-06,-10.463245289546622,-11.308087984835309,-10.717165493827181,-8.934931130362308,0
2020-02-07,-9.802234546793725,-10.88146177215806,-10.782637043599976,-9.187445686952843,1
2020-02-10,-12.714147167044343,-10.760451622990887,-10.969942920479276,-9.324796785363281,1
2020-02-11,-10.095776033618836,-11.427317426751976,-10.940165060183816,-9.446512197002779,1
2020-02-12,-13.676067387201474,-11.83228716783996,-11.2901957377967,-9.691077573987092,0
2020-02-13,-12.870568977512256,-11.990484804491151,-11.460720523310545,-9.797381589360102,1
2020-02-14,-11.918178342772844,-11.852206011478302,-11.55777307062153,-10.001369424875627,1
2020-02-18,-10.6904450488993,-12.13088767980014,-11.642251408376609,-10.217718465018828,1
2020-02-19,-10.984812744426323,-11.385360552802448,-11.903263168651735,-10.313222962987917,1
2020-02-20,-9.141123235589099,-11.438567299035359,-11.756300333420015,-10.393841237882722,1
2020-02-21,-6.7788544666019925,-11.305119990810137,-11.93164791435521,-10.344137820120027,0
2020-02-24,-6.962370830506124,-11.558197686447093,-11.393375764952747,-9.752554849280704,1
2020-02-25,-11.206235384885765,-9.69560156004661,-10.319102299677127,-7.891989654940032,0
2020-02-26,-6.160334250126968,-9.643311776019015,-10.019916076057338,-7.491716577740673,1
2020-02-27,-10.939835785634253,-10.333165140948381,-10.093961559276902,-7.793281438739229,0
2020-02-28,-6.3214439128361235,-9.429873709811904,-9.635186550516462,-6.996367122931393,1
2020-03-02,-7.077436786837515,-9.199425224214036,-9.724833379067867,-7.303787060656566,0
2020-03-03,-6.3799083128246314,-11.129764202899624,-9.525664141363126,-6.949188980729211,1
2020-03-04,-6.774180820637374,-10.50695606000416,-9.52357404696603,-6.959800695434599,1
2020-03-05,-8.188340084899078,-10.98348229216722,-9.348022029385133,-6.783376691539087,1
2020-03-06,-5.018908966207309,-10.137505609637788,-9.40142293917637,-6.759189784729731,1
2020-03-09,-5.973517853426768,-8.665486798725606,-9.40311060017847,-6.9791503953239555,0
2020-03-10,-5.992391221887042,-6.788608554611438,-8.985892544343628,-5.972437331811645,0
2020-03-11,-4.593824223977108,-9.445366297299524,-8.906914560961006,-5.984036540371704,0
2020-03-12,-5.001385519006089,-6.809107784893521,-8.421330699140645,-5.972514324165944,0
2020-03-13,-4.310286638882485,-3.570781548036495,-8.031572368269572,-5.356552398801564,0
2020-03-16,-5.890648132209874,-7.26589180325125,-7.8784061145633,-5.253287298108295,0
