Date,y,state,p_Low Vol,p_Mid Vol,p_High Vol
2019-09-05,-1.650456071164678,2,0.2191647858013655,0.03891926945724292,0.741915944741386
2019-09-06,-1.6518047333208328,1,0.15021387834912153,0.4357029392674533,0.41408318238343905
2019-09-09,-2.172860108348855,0,0.7283462776556324,0.13093258477964953,0.14072113756472623
2019-09-10,-2.2070741529822677,0,0.7604389613351346,0.10754962799158006,0.1320114106732704
2019-09-11,-2.273200221561239,1,0.09059186379411295,0.49553508895892173,0.4138730472469373
2019-09-12,-2.281315725997595,1,0.07168168640895262,0.5447548366561744,0.38356347693488524
2019-09-13,-2.3791394351006865,2,0.004705573237207313,0.006090106843305348,0.9892043199195071
2019-09-16,-2.3416472280718352,2,0.29407723765907734,0.07544469245039458,0.6304780698905335
2019-09-17,-2.47777021856406,0,0.4592099544399308,0.43679555031871886,0.10399449524136409
2019-09-18,-2.626904154149179,0,0.5291569026253027,0.460738172532814,0.01010492484187377
2019-09-19,-3.1320065290786636,0,0.9979813698252509,0.0016007919423170957,0.0004178382324171701
2019-09-20,-2.6842161516018206,0,0.8967280943446948,0.09387641149221815,0.009395494163114304
2019-09-23,-2.684633016206471,0,0.9221397583868244,0.04993760836854977,0.027922633244621898
2019-09-24,-2.539066796447445,1,0.16671641663679126,0.6024584267892452,0.23082515657394592
2019-09-25,-2.579722703844226,1,0.3127189711269209,0.553580622422279,0.13370040645079026
2019-09-26,-2.63217781174567,0,0.7503117743101347,0.09800335227210115,0.15168487341775022
2019-09-27,-2.5984166020241606,0,0.5351832465077215,0.2840011628004199,0.18081559069186576
2019-09-30,-2.516168415704458,2,0.0072331548057491,0.26129457767092273,0.7314722675233334
2019-10-01,-2.3640389177336374,1,0.08017903940036543,0.6434060381826279,0.27641492241698407
2019-10-02,-2.1304177225248124,1,0.3495412223821761,0.5272320322724777,0.12322674534532532
2019-10-03,-2.0135901031048498,1,0.2732385801300787,0.39384977034877283,0.33291164952114044
2019-10-04,-1.8735756231457172,1,0.2429363957695415,0.4061752045844802,0.35088839964598895
2019-10-07,-1.8699545205951444,2,0.30308423328014195,0.3201018418372205,0.37681392488263976
2019-10-08,-1.7886784806575042,1,0.23395222998708995,0.38714375454399635,0.3789040154689035
2019-10-09,-1.7542531308544047,1,0.09300587174237294,0.5304946175358962,0.37649951072173893
2019-10-10,-1.7219491410793004,1,0.022633051410637758,0.5171289209269988,0.46023802766238764
2019-10-11,-1.682948614257098,2,0.06541862388066857,0.11008957658730562,0.824491799532007
2019-10-14,-1.691143668568051,2,0.15006334575332364,0.02280534614053609,0.8271313081061548
2019-10-15,-1.7259844473974728,2,0.1127286346548421,0.15273771954058307,0.7345336458046023
2019-10-16,-1.946223764023954,2,0.019490952976492882,0.0011659642732443315,0.979343082750266
2019-10-17,-1.962864622497843,2,0.10095405789694264,0.06298600129049026,0.8360599408125722
2019-10-18,-2.0280013942014237,2,0.14370605051177754,0.10909359458423819,0.7472003549039828
2019-10-21,-2.038139084845217,2,0.0372351722686511,0.014836080843103389,0.9479287468882437
2019-10-22,-2.391436909572448,2,0.16043444592662542,0.3434115597978871,0.49615399427550694
2019-10-23,-2.46029141679906,2,0.12067891632910237,0.1539093401313446,0.7254117435395546
2019-10-24,-2.491203867944761,2,0.027422016581886033,0.007757066523847156,0.9648209168942666
2019-10-25,-2.6416219559030067,2,0.021096901373754962,0.14866385298163978,0.8302392456446256
2019-10-28,-2.636567389868426,2,0.004315827223532864,0.1449942701209659,0.8506899026554742
2019-10-29,-2.8248951674281977,1,0.09045506045664486,0.7083634777197204,0.2011814618236589
2019-10-30,-2.861279566712779,0,0.6192811688688926,0.3424568435144966,0.03826198761662936
2019-10-31,-2.794568601452735,0,0.75421459248545,0.19175823809505288,0.05402716941949803
2019-11-01,-2.7560651205979316,0,0.8613604802446065,0.0029534718960878867,0.13568604785931526
2019-11-04,-2.8127907876774305,0,0.820502422238838,0.0002238252281328107,0.1792737525330538
