Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY,SPY
Date,,,,,,
2020-04-07,243.71849060058594,265.1300048828125,275.0299987792969,264.8900146484375,274.2099914550781,201427200
2020-04-08,251.89968872070312,274.0299987792969,276.0,265.25,267.9599914550781,153774500
2020-04-09,255.73297119140625,278.20001220703125,281.20001220703125,275.4700012207031,277.5799865722656,189999200
2020-04-13,253.3981170654297,275.6600036621094,277.510009765625,271.4100036621094,277.1400146484375,114839100
2020-04-14,260.8714904785156,283.7900085449219,284.8999938964844,275.510009765625,280.9800109863281,134143400
2020-04-15,255.3284912109375,277.760009765625,283.94000244140625,275.4599914550781,277.57000732421875,121775000
2020-04-16,256.560302734375,279.1000061035156,280.0299987792969,275.760009765625,279.1499938964844,131798300
2020-04-17,263.49139404296875,286.6400146484375,287.29998779296875,282.3999938964844,285.3800048828125,146684800
2020-04-20,258.8492126464844,281.5899963378906,286.7900085449219,281.3500061035156,282.6099853515625,100109300
2020-04-21,250.9897003173828,273.0400085449219,278.0400085449219,272.0199890136719,276.7300109863281,126385700
2020-04-22,256.560302734375,279.1000061035156,281.0,276.9100036621094,278.3500061035156,92951600
2020-04-23,256.5418395996094,279.0799865722656,283.94000244140625,278.75,280.489990234375,104709700
2020-04-24,260.11773681640625,282.9700012207031,283.70001220703125,278.5,280.7300109863281,85063200
2020-04-27,263.8682861328125,287.04998779296875,288.2699890136719,284.6199951171875,285.1199951171875,77896600
2020-04-28,262.65484619140625,285.7300109863281,291.3999938964844,285.3999938964844,291.0199890136719,105270000
2020-04-29,269.53076171875,293.2099914550781,294.8800048828125,290.4100036621094,291.5299987792969,118745600
2020-04-30,267.021240234375,290.4800109863281,293.32000732421875,288.5899963378906,291.7099914550781,122901700
2020-05-01,259.9523010253906,282.7900085449219,290.6600036621094,281.5199890136719,285.30999755859375,125180000
2020-05-04,260.6692810058594,283.57000732421875,283.8999938964844,279.1300048828125,280.739990234375,80873200
2020-05-05,263.07769775390625,286.19000244140625,289.25,283.7099914550781,286.6400146484375,79569900
2020-05-06,261.29437255859375,284.25,288.4599914550781,283.7799987792969,288.0400085449219,73632600
2020-05-07,264.4473571777344,287.67999267578125,289.7799987792969,287.1300048828125,287.75,75250400
2020-05-08,268.822998046875,292.44000244140625,292.95001220703125,289.8599853515625,291.0899963378906,76452400
2020-05-11,268.87811279296875,292.5,294.0,289.8800048828125,290.3399963378906,79514200
2020-05-12,263.5189208984375,286.6700134277344,294.239990234375,286.5199890136719,293.7900085449219,95870800
2020-05-13,258.8583679199219,281.6000061035156,287.19000244140625,278.9599914550781,286.05999755859375,144721100
2020-05-14,261.9561767578125,284.9700012207031,285.1099853515625,272.989990234375,278.95001220703125,121977900
2020-05-15,263.1603698730469,286.2799987792969,286.3299865722656,281.3399963378906,282.3699951171875,111146300
2020-05-18,271.1761474609375,295.0,296.75,292.70001220703125,293.04998779296875,119703800
2020-05-19,268.39093017578125,291.9700012207031,296.2099914550781,291.95001220703125,294.3500061035156,95189300
2020-05-20,272.9503173828125,296.92999267578125,297.8699951171875,295.57000732421875,295.82000732421875,85861700
2020-05-21,271.0658874511719,294.8800048828125,297.6700134277344,293.69000244140625,296.7900085449219,78293900
2020-05-22,271.5805969238281,295.44000244140625,295.6300048828125,293.2200012207031,294.57000732421875,63958200
2020-05-26,274.92669677734375,299.0799865722656,302.19000244140625,295.4599914550781,301.92999267578125,88951400
2020-05-27,279.017333984375,303.5299987792969,303.57000732421875,296.8699951171875,302.1199951171875,104817400
2020-05-28,278.5025634765625,302.9700012207031,306.8399963378906,302.239990234375,304.6499938964844,90405200
2020-05-29,279.7434997558594,304.32000732421875,304.9599914550781,299.4700012207031,302.4599914550781,119090800
2020-06-01,280.8742370605469,305.54998779296875,306.2099914550781,303.05999755859375,303.6199951171875,55758300
2020-06-02,283.1999206542969,308.0799865722656,308.1300048828125,305.1000061035156,306.54998779296875,74267200
2020-06-03,286.96875,312.17999267578125,313.2200012207031,309.94000244140625,310.239990234375,92567600
2020-06-04,286.21502685546875,311.3599853515625,313.0,309.0799865722656,311.1099853515625,75794400
2020-06-05,293.550537109375,319.3399963378906,321.2699890136719,317.1600036621094,317.2300109863281,150524700
2020-06-08,297.098876953125,323.20001220703125,323.4100036621094,319.6300048828125,320.2200012207031,73641200
2020-06-09,294.8834533691406,320.7900085449219,323.2799987792969,319.3599853515625,320.29998779296875,77479200
2020-06-10,293.238037109375,319.0,322.3900146484375,318.2200012207031,321.4200134277344,95000800
2020-06-11,276.3331298828125,300.6099853515625,312.1499938964844,300.010009765625,311.4599914550781,209243600
2020-06-12,279.6424560546875,304.2099914550781,309.0799865722656,298.6000061035156,308.239990234375,194678900
2020-06-15,282.2530822753906,307.04998779296875,308.2799987792969,296.739990234375,298.0199890136719,135782700
2020-06-16,287.685791015625,312.9599914550781,315.6400146484375,307.6700134277344,315.4800109863281,137627500
2020-06-17,286.4908447265625,311.6600036621094,314.3900146484375,310.8599853515625,314.07000732421875,83398900
2020-06-18,286.60113525390625,311.7799987792969,312.29998779296875,309.510009765625,310.010009765625,80828700
2020-06-19,284.96319580078125,308.6400146484375,314.3800048828125,306.5299987792969,314.1700134277344,135549600
2020-06-22,286.7912902832031,310.6199951171875,311.04998779296875,306.75,307.989990234375,74649400
2020-06-23,288.1116638183594,312.04998779296875,314.5,311.6099853515625,313.489990234375,68471200
2020-06-24,280.7623291015625,304.0899963378906,310.510009765625,302.1000061035156,309.8399963378906,132813500
2020-06-25,283.77215576171875,307.3500061035156,307.6400146484375,301.2799987792969,303.4700012207031,89468000
2020-06-26,277.0320739746094,300.04998779296875,306.3900146484375,299.4200134277344,306.1600036621094,127961000
2020-06-29,281.10382080078125,304.4599914550781,304.6099853515625,298.92999267578125,301.4100036621094,79773300
2020-06-30,284.7046813964844,308.3599853515625,310.20001220703125,303.82000732421875,303.989990234375,113394800
2020-07-01,286.69891357421875,310.5199890136719,311.8900146484375,309.07000732421875,309.57000732421875,72396500
2020-07-02,288.2777404785156,312.2300109863281,315.70001220703125,311.510009765625,314.239990234375,69344200
2020-07-06,292.72796630859375,317.04998779296875,317.67999267578125,315.55999755859375,316.3699951171875,61713800
2020-07-07,289.7088928222656,313.7799987792969,317.5199890136719,313.3699951171875,315.3800048828125,82910000
2020-07-08,291.9248352050781,316.17999267578125,316.29998779296875,312.70001220703125,314.6099853515625,54638600
2020-07-09,290.2628479003906,314.3800048828125,317.1000061035156,310.67999267578125,316.8399963378906,83354200
2020-07-10,293.2265625,317.5899963378906,317.8800048828125,312.760009765625,314.30999755859375,57550400
2020-07-13,290.68743896484375,314.8399963378906,322.7099914550781,314.1300048828125,320.1300048828125,102997500
2020-07-14,294.4545593261719,318.9200134277344,319.760009765625,312.0,313.29998779296875,93657000
2020-07-15,297.15972900390625,321.8500061035156,323.0400085449219,319.2699890136719,322.4100036621094,87196500
2020-07-16,296.1811218261719,320.7900085449219,321.2799987792969,319.0899963378906,319.7900085449219,54622500
2020-07-17,297.0397644042969,321.7200012207031,322.57000732421875,319.739990234375,321.8800048828125,62774900
2020-07-20,299.4403076171875,324.32000732421875,325.1300048828125,320.6199951171875,321.42999267578125,56308800
2020-07-21,300.077392578125,325.010009765625,326.92999267578125,323.94000244140625,326.45001220703125,57292200
2020-07-22,301.7854919433594,326.8599853515625,327.20001220703125,324.5,324.6199951171875,57792900
2020-07-23,298.1846923828125,322.9599914550781,327.2300109863281,321.4800109863281,326.4700012207031,75738000
2020-07-24,296.26422119140625,320.8800048828125,321.989990234375,319.25,320.95001220703125,73766600
2020-07-27,298.42474365234375,323.2200012207031,323.4100036621094,320.7699890136719,321.6300048828125,48293000
2020-07-28,296.5320129394531,321.1700134277344,323.6400146484375,320.8500061035156,322.42999267578125,57495000
2020-07-29,300.17889404296875,325.1199951171875,325.7300109863281,322.0799865722656,322.1199951171875,48454200
2020-07-30,299.10797119140625,323.9599914550781,324.4100036621094,319.6400146484375,321.8999938964844,61861700
2020-07-31,301.4715576171875,326.5199890136719,326.6300048828125,321.3299865722656,325.8999938964844,84986800
2020-08-03,303.56744384765625,328.7900085449219,329.6199951171875,327.7300109863281,328.32000732421875,53077900
2020-08-04,304.739990234375,330.05999755859375,330.05999755859375,327.8599853515625,327.8599853515625,41917900
2020-08-05,306.6327209472656,332.1099853515625,332.3900146484375,331.17999267578125,331.4700012207031,42697700
2020-08-06,308.68243408203125,334.3299865722656,334.4599914550781,331.1300048828125,331.4800109863281,43679400
2020-08-07,308.9040222167969,334.57000732421875,334.8800048828125,332.29998779296875,333.2799987792969,57308300
2020-08-10,309.8273010253906,335.57000732421875,335.7699890136719,332.9599914550781,335.05999755859375,44282100
2020-08-11,307.26983642578125,332.79998779296875,337.5400085449219,332.010009765625,336.8500061035156,69601100
2020-08-12,311.55377197265625,337.44000244140625,338.2799987792969,335.4100036621094,335.44000244140625,53774400
2020-08-13,310.9906005859375,336.8299865722656,338.25,335.8299865722656,336.6099853515625,41816100
2020-08-14,310.9999084472656,336.8399963378906,337.4200134277344,335.6199951171875,336.4100036621094,47260400
2020-08-17,311.98779296875,337.9100036621094,338.3399963378906,336.8500061035156,337.94000244140625,35481000
2020-08-18,312.6617736816406,338.6400146484375,339.1000061035156,336.6099853515625,338.3399963378906,38733900
2020-08-19,311.35992431640625,337.2300109863281,339.6099853515625,336.6199951171875,339.04998779296875,68054200
2020-08-20,312.3293762207031,338.2799987792969,338.79998779296875,335.2200012207031,335.3599853515625,42207800
2020-08-21,313.4373779296875,339.4800109863281,339.7200012207031,337.54998779296875,337.9200134277344,55106600
2020-08-24,316.61346435546875,342.9200134277344,343.0,339.45001220703125,342.1199951171875,48588700
2020-08-25,317.721435546875,344.1199951171875,344.2099914550781,342.2699890136719,343.5299987792969,38463400
2020-08-26,320.9067687988281,347.57000732421875,347.8599853515625,344.1700134277344,344.760009765625,50790200
2020-08-27,321.6083984375,348.3299865722656,349.8999938964844,346.5299987792969,348.510009765625,58034100
2020-08-28,323.6858215332031,350.5799865722656,350.7200012207031,348.1499938964844,349.44000244140625,48588900
2020-08-31,322.51324462890625,349.30999755859375,351.29998779296875,349.05999755859375,350.3500061035156,66099200
2020-09-01,325.55084228515625,352.6000061035156,352.7099914550781,349.239990234375,350.2099914550781,54908700
2020-09-02,330.25970458984375,357.70001220703125,358.75,353.42999267578125,354.6700134277344,69540000
