Date,y,state,p_state_0,p_state_1,p_state_2
2024-06-18,-2.7116386591893855,0,0.5960678839566235,0.2000660534103589,0.20386606263294935
2024-06-20,-2.8788212682405034,0,0.8396298293759908,0.04940823607363608,0.11096193455026054
2024-06-21,-2.728807967906319,0,0.6176903668098965,0.15930796663650204,0.22300166655356854
2024-06-24,-2.678400138783737,0,0.44964997948805285,0.27704501524340935,0.2733050052684896
2024-06-25,-2.6703381258167322,1,0.3299629897685409,0.4945418664375904,0.1754951437939367
2024-06-26,-2.671603913103056,1,0.3232952072411026,0.43929479788557513,0.23740999487334954
2024-06-27,-2.836214065963731,1,0.34067915148253397,0.4182223044372803,0.24109854408014733
2024-06-28,-2.764569790051397,1,0.39397957097837993,0.42925671920406383,0.17676370981752304
2024-07-01,-2.755121662050893,1,0.3774618797359493,0.46382650251660046,0.15871161774751832
2024-07-02,-2.8171626296722168,0,0.6279024673812893,0.30797550092852155,0.0641220316901644
2024-07-03,-2.7733522806106503,0,0.7068132036962782,0.23046863705096451,0.06271815925272528
2024-07-05,-2.7409045952076934,0,0.7781195764663611,0.14899660092394534,0.07288382260971074
2024-07-08,-2.891293236510321,0,0.913488156569364,0.0436930125537847,0.042818830876884095
2024-07-09,-3.038169071197734,0,0.801570077748056,0.006053421449015824,0.19237650080283303
2024-07-10,-2.8002190463317453,0,0.5073083798942915,0.23766236905980526,0.2550292510459942
2024-07-11,-2.471581764960677,1,0.3220498318465198,0.41472868109437916,0.26322148705903314
2024-07-12,-2.440995244483319,1,0.33993106753700725,0.4670116890698877,0.19305724339318436
2024-07-15,-2.53279688181986,1,0.3391631652881687,0.45579071897214607,0.20504611573964224
2024-07-16,-2.5216228929455973,1,0.31262635868868965,0.45876374984214346,0.22860989146906935
2024-07-17,-2.1465257598789016,2,0.31595030790350676,0.280171414474622,0.4038782776219666
2024-07-18,-2.0887414083509444,1,0.29308486823040336,0.3539180240101961,0.3529971077593355
2024-07-19,-2.0875390519394093,1,0.26626853080856583,0.3971021033856703,0.33662936580572383
2024-07-22,-1.9930358784263829,1,0.2934770759839715,0.36127669026497866,0.34524623375106395
2024-07-23,-1.9928125428036876,1,0.26529477547882285,0.38818048583172227,0.34652473868950795
2024-07-24,-1.8078559259076834,2,0.11411978218729019,0.1019776608395717,0.7839025569732511
2024-07-25,-1.8204206670495278,2,0.19064064118796847,0.11768608370622491,0.6916732751058182
2024-07-26,-1.7629188879093525,2,0.3619193486724041,0.24785023326760522,0.3902304180600869
2024-07-29,-1.772439147027106,2,0.3119791697041901,0.32406880529533794,0.3639520250004843
2024-07-30,-1.8169869622680128,1,0.29765100936624966,0.36184742156326766,0.340501569070438
2024-07-31,-1.7125902058827585,2,0.30142805113116017,0.32608772548458526,0.37248422338435155
2024-08-01,-1.6614712533915412,2,0.10923573541598741,0.0519753021167545,0.8387889624672176
2024-08-02,-1.5722924212421692,2,0.04620375282722803,0.3221838575446297,0.631612389628034
2024-08-05,-1.4637701225340065,2,0.06507610418426023,0.4115641010467452,0.5233597947689467
2024-08-06,-1.4093727559717164,1,0.049060817809767655,0.5904911928631242,0.36044798932706396
2024-08-07,-1.489620109318866,1,0.14918670349026755,0.5664419292165488,0.2843713672931393
2024-08-08,-1.3355049458702513,1,0.05548143205792558,0.6073628426730342,0.3371557252689948
2024-08-09,-1.3622701898054737,1,0.13306161621760612,0.5214462827078128,0.3454921010746831
2024-08-12,-1.3623416723904518,2,0.224921728015124,0.19303680252147024,0.5820414694633684
2024-08-13,-1.304778567167921,0,0.6966920508985801,0.0027062063903146062,0.30060174271109147
2024-08-14,-1.3582970511996164,2,0.4394487944930068,0.004838955881029314,0.5557122496258673
2024-08-15,-1.3440228219406205,0,0.5677120820383402,0.02926320805694207,0.40302470990476374
2024-08-16,-1.4514552239384422,0,0.4863186166308429,0.05647832005079164,0.45720306331838223
2024-08-19,-1.9548745237393128,2,0.2958049270713749,0.1264575672691796,0.5777375056594849
2024-08-20,-1.9042360155774367,2,0.3618812993499739,0.0721038545544435,0.5660148460955216
2024-08-21,-2.033644338327464,2,0.28495527085344086,0.17714104771706377,0.5379036814295457
2024-08-22,-2.100461903281172,2,0.29894030393123533,0.2096582443717131,0.4914014516971303
2024-08-23,-2.072763473679769,1,0.25474952440395265,0.3883115121457827,0.35693896345028886
2024-08-26,-2.042262272463663,1,0.2423930107522593,0.38463650260646054,0.37297048664127436
2024-08-27,-2.1706906821933387,1,0.27114498786482133,0.44064872399639543,0.2882062881388764
2024-08-28,-2.091849161563343,1,0.25632139103280915,0.4204541509636971,0.32322445800350197
2024-08-29,-2.3634013218935204,1,0.3576696256102405,0.4192520432124646,0.2230783311771967
2024-08-30,-2.2683953608645626,1,0.27672287312362737,0.49569691018841466,0.2275802166878472
2024-09-03,-1.9424062051896838,2,0.2368124222448021,0.011562291064478572,0.7516252866907036
2024-09-04,-1.9421407502914454,1,0.18765927494148701,0.44748648270364566,0.36485424235493463
2024-09-05,-1.9599289737652572,1,0.25502324991065345,0.4485996272738022,0.296377122815652
2024-09-06,-1.8458312400959105,1,0.22336962325238635,0.43419423583924865,0.34243614090835756
2024-09-09,-1.83720681385788,1,0.2188592679466127,0.4216547284795951,0.3594860035737598
2024-09-10,-1.8119917587378032,1,0.15769741298728895,0.4577775383371141,0.3845250486755669
2024-09-11,-1.746787611746608,2,0.16570992886875696,0.19598240146481347,0.6383076696663703
2024-09-12,-1.7231109419074193,2,0.22137706624023698,0.08981285028770768,0.6888100834721456
2024-09-13,-1.7130817229194388,2,0.16164533408590806,0.035419509704154264,0.8029351562099603
2024-09-16,-1.7506471311164125,2,0.19202658621943847,0.034818232348214226,0.7731551814322887
2024-09-17,-2.0380135788430542,2,0.2932882069401221,0.2135980341434272,0.4931137589164483
2024-09-18,-2.0313189960446416,2,0.4548331307333046,0.05409460573462813,0.4910722635320811
2024-09-19,-1.9090763452765984,0,0.5665286074910758,0.03165029460558545,0.4018210979032568
2024-09-20,-2.2315114464104204,2,0.36569449467068355,0.15981108030352292,0.4744944250257937
2024-09-23,-2.280272319487305,2,0.3483826503630104,0.19784222925398287,0.4537751203831161
2024-09-24,-2.27831212777211,2,0.318453950311575,0.29189064183427976,0.3896554078541991
2024-09-25,-2.2985939161069227,0,0.3612745968496895,0.32921970055411814,0.30950570259610016
2024-09-26,-2.3452035642327305,1,0.28039113605261917,0.44185336168229467,0.27775550226513057
2024-09-27,-2.342704448565494,2,0.3547472968013516,0.2703955949250488,0.37485710827362395
2024-09-30,-2.3355429997871324,1,0.28866571091197396,0.4093965487411848,0.30193774034678267
2024-10-01,-2.195458790260057,2,0.2651388893281211,0.2813098501913896,0.45355126048046035
2024-10-02,-2.2144011707319513,1,0.26790220207603394,0.4785800427107267,0.2535177552132174
2024-10-03,-2.7121937345334084,0,0.7042821161220103,0.19476338646364866,0.10095449741431978
2024-10-04,-2.5621950368225384,0,0.45851285423518534,0.3611708093089423,0.1803163364559558
2024-10-07,-2.3989616865532297,1,0.28923911076800213,0.4186730794894571,0.29208780974255116
2024-10-08,-2.2782080028489764,1,0.29939674632761,0.39517993468768214,0.30542331898475056
2024-10-09,-2.241561852732455,2,0.3127705506475962,0.3285275255771992,0.3587019237751629
2024-10-10,-2.2436913475342606,2,0.26572161140513123,0.34994854725611424,0.38432984133864356
2024-10-11,-2.221623653793735,1,0.276998875465005,0.3737403268040343,0.3492607977310517
2024-10-14,-2.1794618622655455,1,0.25852256087925646,0.4225023345802745,0.318975104540476
2024-10-15,-2.207200598341985,2,0.30659136146398325,0.17782073898225417,0.5155878995537196
2024-10-16,-2.205030571384124,2,0.3371698717833606,0.18724871339956886,0.47558141481713967
2024-10-17,-2.219823626654111,2,0.3513410678021034,0.18958243767853003,0.4590764945194225
2024-10-18,-2.274287470546889,2,0.318950787157092,0.29913050193655616,0.38191871090640317
2024-10-21,-2.4559727760426235,1,0.32091727688566485,0.40809079179534424,0.27099193131906957
2024-10-22,-2.5465051108733685,1,0.37053088587659094,0.472011599200106,0.1574575149233272
2024-10-23,-2.4128183434151476,1,0.35802292539666764,0.5138294528603043,0.12814762174311298
2024-10-24,-2.41471141092702,1,0.3373827063692234,0.4551702780998533,0.20744701553102973
2024-10-25,-2.475585962576701,0,0.4926822164559804,0.4041975675556548,0.10312021598830733
2024-10-28,-2.611953183294753,0,0.5331807087711822,0.32497556433426883,0.14184372689449845
2024-10-29,-2.783288109770593,0,0.6050430145499478,0.32363058745327605,0.07132639799672147
2024-10-30,-2.821345114662485,0,0.6381283440401564,0.3069608897616116,0.05491076619833127
2024-10-31,-2.172479993665885,2,0.27817458319489646,0.27411237591494697,0.4477130408902206
2024-11-01,-2.167369626031633,2,0.2519366869642597,0.33104693168016974,0.4170163813554797
2024-11-04,-2.1678856892357343,1,0.2696342147271471,0.40586204210795257,0.3245037431648176
2024-11-05,-1.9984622932466098,1,0.22891718611300532,0.4227004393006044,0.34838237458631416
2024-11-06,-1.7229963202902692,1,0.17341229371710634,0.4148582319660435,0.41172947431681256
2024-11-07,-1.7113435381326834,1,0.29859933380589254,0.5215927470910887,0.17980791910303792
2024-11-08,-1.7154941792103007,2,0.2638031766034376,0.3227720616903368,0.413424761706206
2024-11-11,-1.7134161753312367,0,0.7907755655048863,0.09652680243616558,0.11269763205894376
2024-11-12,-1.6991518628741096,0,0.5672150827795647,0.24244549357370535,0.19033942364680642
