Date,y,state,p_state_0,p_state_1,p_state_2
2023-10-26,-1.9592373997330026,1,0.28733315525025366,0.43564167684727473,0.27702516790257764
2023-10-27,-1.9591107633495373,1,0.2655481637468356,0.41266317735652874,0.32178865889656477
2023-10-30,-1.928027631140461,1,0.27582635996444,0.429783261953153,0.29439037808233737
2023-10-31,-1.8683263140680648,1,0.2732864300141086,0.38434532505441704,0.3423682449315296
2023-11-01,-1.8259110238174199,2,0.24819694254609517,0.36034698624393247,0.3914560712098829
2023-11-02,-1.6841964782119356,0,0.4229980141831772,0.16538109699985246,0.41162088881692044
2023-11-03,-1.753731333216775,1,0.2639411361454178,0.39698134722242256,0.3390775166321357
2023-11-06,-1.7654514478954877,2,0.28773777767756287,0.34796701040641836,0.364295211916102
2023-11-07,-1.7737895170048725,1,0.2680579325398329,0.39922720333756057,0.33271486412261203
2023-11-08,-1.9640092191718936,2,0.36605240857511884,0.23488816111820363,0.3990594303067643
2023-11-09,-2.0614712927691143,0,0.44712546639703893,0.14190858469820866,0.41096594890471555
2023-11-10,-2.0813391339398506,0,0.5032281805302673,0.22476284907194322,0.2720089703976973
2023-11-13,-2.0603758385873534,1,0.3092893579416417,0.3454097435952091,0.34530089846307427
2023-11-14,-1.9356534282751738,1,0.2592251134401567,0.408416803666698,0.3323580828930454
2023-11-15,-1.9326945215612772,1,0.3847474072664858,0.4135800262164732,0.20167256651703638
2023-11-16,-2.061781281025247,0,0.5154827267321478,0.25234444981232396,0.23217282345551685
2023-11-17,-2.077395938442064,0,0.4471918041083823,0.2819249159373282,0.2708832799543098
2023-11-20,-2.0671729455083088,1,0.38780057184773686,0.38912051599060776,0.22307891216156966
2023-11-21,-2.036570115615918,1,0.3543912222493765,0.35468740197796794,0.2909213757726091
2023-11-22,-2.0445120504828616,2,0.25416947256596584,0.32963609933903126,0.4161944280950872
2023-11-24,-2.17269943075864,0,0.627341113983432,0.005378561145816991,0.36728032487084994
2023-11-27,-2.293611972013064,2,0.33456183278968726,0.18621493755103033,0.47922322965922093
2023-11-28,-2.3108945198839734,2,0.33002223697948385,0.22812111725360262,0.441856645766928
2023-11-29,-3.089114178829073,0,0.6057564609207216,0.34357039073623413,0.05067314834295784
2023-11-30,-3.050699528344955,0,0.7390927097841847,0.09572701985635278,0.16518027035944133
